,source,target,value
16,Cersei Lannister,Joffrey Baratheon,11
17,Joffrey Baratheon,Loras Tyrell,12
21,Sansa Stark,Tyrion Lannister,16
40,Petyr Baelish,Sansa Stark,19
45,Joffrey Baratheon,Margaery Tyrell,17
88,Black Lorren,Stannis Baratheon,14
132,Loras Tyrell,Sansa Stark,24
134,Grey Worm,Theon Greyjoy,20
135,Joffrey Baratheon,Sansa Stark,14
138,Jon Snow,Mance Rayder,13
146,Joffrey Baratheon,Tyrion Lannister,11
151,Davos Seaworth,Stannis Baratheon,11
164,High Septon,Margaery Tyrell,13
170,Bran Stark,Hodor,11
229,Black Lorren,Jon Snow,19
275,Ramsay Bolton,Theon Greyjoy,13
