,source,target,value
0,Jaime Lannister,Loras Tyrell,1
1,Loras Tyrell,Renly Baratheon,5
2,Renly Baratheon,Tywin Lannister,4
3,Talisa Maegyr,Tywin Lannister,4
4,Joffrey Baratheon,Talisa Maegyr,2
5,Joffrey Baratheon,Lancel Lannister,4
6,Lancel Lannister,Meryn Trant,2
7,Meryn Trant,Robb Stark,2
8,Jaime Lannister,Robb Stark,32
9,Bronn,Jaime Lannister,2
10,Bronn,Meryn Trant,3
11,Joffrey Baratheon,Meryn Trant,2
12,Brienne of Tarth,Joffrey Baratheon,2
13,Brienne of Tarth,Eddard Stark,4
14,Eddard Stark,Sandor Clegane,2
15,Cersei Lannister,Sandor Clegane,6
16,Cersei Lannister,Joffrey Baratheon,30
17,Eddard Stark,Joffrey Baratheon,7
18,Eddard Stark,Sansa Stark,2
19,Arya Stark,Sansa Stark,9
20,Arya Stark,Joffrey Baratheon,6
21,Jaime Lannister,Joffrey Baratheon,17
22,Robb Stark,Tyrion Lannister,4
23,Gregor Clegane,Tyrion Lannister,2
24,Gregor Clegane,Sandor Clegane,2
25,Gregor Clegane,Joffrey Baratheon,2
26,Gregor Clegane,Stannis Baratheon,2
27,Renly Baratheon,Stannis Baratheon,17
28,Eddard Stark,Renly Baratheon,6
29,Daenerys Targaryen,Renly Baratheon,2
30,Daenerys Targaryen,Xaro Xhoan Daxos,6
31,Gendry,Xaro Xhoan Daxos,2
32,Gendry,Tywin Lannister,2
33,Grand Maester Pycelle,Tywin Lannister,2
34,Cersei Lannister,Grand Maester Pycelle,2
35,Joffrey Baratheon,Tywin Lannister,14
36,Cersei Lannister,Davos Seaworth,2
37,Robb Stark,Theon Greyjoy,17
38,Mance Rayder,Theon Greyjoy,2
39,Eddard Stark,Mance Rayder,4
40,Jon Snow,Mance Rayder,10
41,Joffrey Baratheon,Jon Snow,6
42,Joffrey Baratheon,Robb Stark,15
43,Robb Stark,Sansa Stark,2
44,Arya Stark,Bran Stark,3
45,Bran Stark,Rickon Stark,11
46,Jaime Lannister,Rickon Stark,2
47,Jaime Lannister,Tywin Lannister,5
48,Brienne of Tarth,Tywin Lannister,2
49,Brienne of Tarth,Cersei Lannister,4
50,Joffrey Baratheon,Stannis Baratheon,31
51,Robb Stark,Stannis Baratheon,15
52,Amory Lorch,Robb Stark,2
53,Amory Lorch,Yoren,2
54,Jaqen H'ghar,Yoren,2
55,Jaqen H'ghar,Tywin Lannister,6
56,Mance Rayder,Tywin Lannister,2
57,Jon Snow,Stannis Baratheon,6
58,Archmaester Ebrose,Stannis Baratheon,4
59,Jon Snow,Qhorin Halfhand,2
60,Qhorin Halfhand,Tywin Lannister,2
61,Jaqen H'ghar,Podrick Payne,2
62,Podrick Payne,Varys,2
63,Joffrey Baratheon,Varys,8
64,Jaime Lannister,Varys,2
65,Stannis Baratheon,Varys,7
66,Joffrey Baratheon,Shae,4
67,Shae,Theon Greyjoy,2
68,Davos Seaworth,Theon Greyjoy,2
69,Davos Seaworth,Eddard Stark,2
70,Eddard Stark,Robert Baratheon,8
71,Renly Baratheon,Robert Baratheon,8
72,Renly Baratheon,Theon Greyjoy,2
73,Stannis Baratheon,Theon Greyjoy,2
74,Eddard Stark,Stannis Baratheon,8
75,Eddard Stark,Jon Snow,10
76,Daenerys Targaryen,Stannis Baratheon,2
77,Bran Stark,Xaro Xhoan Daxos,2
78,Craster,Gilly,13
79,Gilly,Hodor,2
80,Bran Stark,Hodor,18
81,Loras Tyrell,Rickon Stark,2
82,Brienne of Tarth,Loras Tyrell,2
83,Brienne of Tarth,Catelyn Stark,7
84,Catelyn Stark,Robb Stark,10
85,Catelyn Stark,Margaery Tyrell,3
86,Joffrey Baratheon,Margaery Tyrell,2
87,Robb Stark,Tywin Lannister,4
88,Brienne of Tarth,Yara Greyjoy,2
89,Robb Stark,Yara Greyjoy,2
90,Robb Stark,Robert Baratheon,2
91,Robert Baratheon,Theon Greyjoy,4
92,Sansa Stark,Theon Greyjoy,2
93,Joffrey Baratheon,Sansa Stark,25
94,Joffrey Baratheon,Myrcella Baratheon,2
95,Myrcella Baratheon,Sansa Stark,2
96,Sansa Stark,Shae,6
97,Myrcella Baratheon,Shae,2
98,Myrcella Baratheon,Theon Greyjoy,11
99,Myrcella Baratheon,Robb Stark,4
100,Lysa Arryn,Myrcella Baratheon,3
101,Lysa Arryn,Robin Arryn,5
102,Janos Slynt,Lysa Arryn,5
103,Brienne of Tarth,Lysa Arryn,2
104,Brienne of Tarth,Margaery Tyrell,2
105,Loras Tyrell,Margaery Tyrell,4
106,Loras Tyrell,Myrcella Baratheon,2
107,Myrcella Baratheon,Robert Baratheon,2
108,Cersei Lannister,Eddard Stark,9
109,Cersei Lannister,Myrcella Baratheon,4
110,Myrcella Baratheon,Robin Arryn,3
111,Jaime Lannister,Robin Arryn,2
112,Myrcella Baratheon,Varys,2
113,Petyr Baelish,Varys,7
114,Robin Arryn,Varys,3
115,Eddard Stark,Robin Arryn,2
116,Jon Snow,Robert Baratheon,2
117,Robert Baratheon,Sansa Stark,2
118,Janos Slynt,Sansa Stark,2
119,Eddard Stark,Janos Slynt,4
120,Amory Lorch,Tywin Lannister,7
121,Amory Lorch,Joffrey Baratheon,2
122,Gendry,Joffrey Baratheon,2
123,Hodor,Robb Stark,4
124,Hodor,Theon Greyjoy,6
125,Eddard Stark,Theon Greyjoy,8
126,Eddard Stark,Maester Luwin,3
127,Bran Stark,Maester Luwin,5
128,Bran Stark,Robb Stark,9
129,Robb Stark,Rodrik Cassel,8
130,Rodrik Cassel,Theon Greyjoy,10
131,Petyr Baelish,Theon Greyjoy,2
132,Arya Stark,Petyr Baelish,2
133,Arya Stark,Tywin Lannister,2
134,Margaery Tyrell,Stannis Baratheon,3
135,Margaery Tyrell,Renly Baratheon,3
136,Loras Tyrell,Robb Stark,2
137,Arya Stark,Stannis Baratheon,2
138,Arya Stark,Catelyn Stark,4
139,Catelyn Stark,Tyrion Lannister,3
140,Tyrion Lannister,Ygritte,2
141,Jon Snow,Ygritte,4
142,Qhorin Halfhand,Ygritte,2
143,Mance Rayder,Qhorin Halfhand,9
144,Jaime Lannister,Spice King,2
145,Khal Drogo,Spice King,2
146,Khal Drogo,Xaro Xhoan Daxos,6
147,Daenerys Targaryen,Jaime Lannister,2
148,Robb Stark,Talisa Maegyr,4
149,Talisa Maegyr,Theon Greyjoy,2
150,Bran Stark,Theon Greyjoy,3
151,Rickon Stark,Theon Greyjoy,2
